titulo,valoracion,precio,ventas,disponibles,envio,tienda,valorizacion,ventas_vendedor
Laptop Hp 15.6' Ryzen 5 256gb Ssd 8gb 6 Nucleos Ultra Veloz,,2096 soles con 90 céntimos,Nuevo,(2 disponibles),Envío gratis,,MercadoLíder Gold,+1000
Dell Laptop Inspiron 14 Serie 3493 10 I5-1035g1,,590 soles,Usado,(2 disponibles),Envío gratis,,,
Laptop Lenovo Ip5 15.6' Fhd R7 5700 16gb 512gb Ssd 8 Nucleos,,3909 soles con 80 céntimos,Nuevo,(2 disponibles),Envío gratis,,MercadoLíder Gold,+1000
Laptop Msi Katana 15.6' Intel Core I9 12va 16gb 1tb W11,,12505 soles con 80 céntimos,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
"Msi Gf72 8re 032 Core I7 2,2 Ghz 17,3 Zoll 8 Gb Ram",,1400 soles,Nuevo,(10 disponibles),Envío gratis,,,
Laptop Hp 2067 I3 10ma 14' Hd 16gb 1tb 256gb Ssd W10 Oficina,,2718 soles con 80 céntimos,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
Laptop Asus X515ea 15.6'fhd I7 11va 12gb 512ssd 4nuc W11,,4937 soles con 80 céntimos,Nuevo,(2 disponibles),Envío gratis,,MercadoLíder Gold,+1000
Laptop Asus X515e 15.6' I5 11va 8gb 512ssd Lector De Huella,,2413 soles con 80 céntimos,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
Laptop Dell Vostro 3405 14' R5 3450u 8gb 256gb Ssd 4 Nucleos,,2544 soles con 80 céntimos,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
Laptop Lenovo Slim 7 14' I7 1165g7 16gb 512gb Ssd W10 Veloz,,4479 soles con 80 céntimos,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
Laptop L15 Gaming 15.6 I5 11va 8gb 512ssd Mx450 V2gb W10,,6007 soles con 80 céntimos,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
Laptop Acer Aspire 5 15.6' Fulhd I5 10ma 8gb 256gb Ssd + 1tb,,2952 soles con 80 céntimos,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
Macbook Pro Retina 15 2018 Nuevo 921960571 En Caja 512gb,,4000 soles,Nuevo,(3 disponibles),Envío gratis,,,
Laptop Ecológica Aspire Vero 15.6 I5 8gb R 514gb Ssd,,3070 soles con 80 céntimos,Nuevo,,Envío gratis,,MercadoLíder Gold,+1000
